Date,Open,High,Low,Close
3/5/21,1.56%,1.61%,1.54%,1.57%
3/4/21,1.49%,1.57%,1.45%,1.56%
3/3/21,1.41%,1.50%,1.40%,1.49%
3/2/21,1.43%,1.46%,1.39%,1.41%
3/1/21,1.42%,1.46%,1.39%,1.43%
2/26/21,1.53%,1.55%,1.41%,1.42%
2/25/21,1.38%,1.56%,1.38%,1.53%
2/24/21,1.35%,1.43%,1.33%,1.38%
2/23/21,1.36%,1.38%,1.35%,1.35%
2/22/21,1.34%,1.39%,1.33%,1.36%
2/19/21,1.30%,1.36%,1.29%,1.34%
2/18/21,1.27%,1.32%,1.26%,1.30%
2/17/21,1.32%,1.33%,1.27%,1.27%
2/16/21,1.21%,1.32%,1.21%,1.32%
2/14/21,1.21%,1.21%,1.21%,1.21%
2/12/21,1.17%,1.21%,1.15%,1.21%
2/11/21,1.13%,1.17%,1.13%,1.17%
2/10/21,1.16%,1.18%,1.13%,1.13%
2/9/21,1.17%,1.17%,1.14%,1.16%
2/8/21,1.17%,1.20%,1.15%,1.17%
2/5/21,1.15%,1.19%,1.13%,1.17%
2/4/21,1.14%,1.16%,1.13%,1.15%
2/3/21,1.10%,1.15%,1.10%,1.14%
2/2/21,1.08%,1.12%,1.07%,1.10%
2/1/21,1.06%,1.09%,1.06%,1.08%
1/29/21,1.05%,1.10%,1.04%,1.06%
1/28/21,1.02%,1.07%,1.00%,1.05%
1/27/21,1.04%,1.05%,1.01%,1.02%
1/26/21,1.03%,1.05%,1.03%,1.04%
1/25/21,1.09%,1.11%,1.03%,1.03%
1/22/21,1.11%,1.12%,1.08%,1.09%
1/21/21,1.08%,1.12%,1.08%,1.11%
1/20/21,1.10%,1.11%,1.08%,1.08%
1/19/21,1.09%,1.12%,1.08%,1.10%
1/17/21,1.09%,1.09%,1.09%,1.09%
1/15/21,1.13%,1.13%,1.09%,1.09%
1/14/21,1.09%,1.13%,1.08%,1.13%
1/13/21,1.13%,1.13%,1.07%,1.09%
1/12/21,1.15%,1.19%,1.13%,1.13%
1/11/21,1.12%,1.15%,1.10%,1.15%
1/8/21,1.08%,1.13%,1.08%,1.12%
1/7/21,1.04%,1.09%,1.03%,1.08%
1/6/21,0.96%,1.06%,0.94%,1.04%
1/5/21,0.92%,0.97%,0.92%,0.96%
1/4/21,0.92%,0.96%,0.90%,0.92%
