Date,Open,High,Low,Close
3/5/21,"2,149.43","2,193.27","2,085.12","2,192.21"
3/4/21,"2,207.74","2,217.05","2,110.14","2,146.92"
3/3/21,"2,232.50","2,252.56","2,207.62","2,207.79"
3/2/21,"2,275.12","2,275.12","2,231.11","2,231.51"
3/1/21,"2,203.03","2,279.54","2,203.03","2,275.32"
2/26/21,"2,201.30","2,232.29","2,165.86","2,201.05"
2/25/21,"2,283.85","2,289.07","2,196.52","2,200.17"
2/24/21,"2,232.41","2,286.49","2,232.41","2,284.38"
2/23/21,"2,248.42","2,248.42","2,169.08","2,231.31"
2/22/21,"2,265.87","2,276.33","2,247.75","2,251.07"
2/19/21,"2,218.82","2,275.87","2,218.82","2,266.69"
2/18/21,"2,253.03","2,253.03","2,208.49","2,218.39"
2/17/21,"2,271.96","2,271.96","2,226.98","2,256.11"
2/16/21,"2,290.57","2,310.10","2,266.27","2,272.89"
2/12/21,"2,284.66","2,293.73","2,264.38","2,289.36"
2/11/21,"2,283.27","2,303.63","2,255.57","2,285.32"
2/10/21,"2,300.68","2,318.09","2,266.66","2,282.44"
2/9/21,"2,289.65","2,309.43","2,281.93","2,299.00"
2/8/21,"2,234.35","2,289.76","2,234.35","2,289.76"
2/5/21,"2,202.95","2,233.33","2,202.95","2,233.33"
2/4/21,"2,160.77","2,202.42","2,160.77","2,202.42"
2/3/21,"2,151.46","2,163.36","2,135.78","2,159.70"
2/2/21,"2,127.31","2,154.54","2,126.45","2,151.44"
2/1/21,"2,075.01","2,130.69","2,075.01","2,126.16"
1/29/21,"2,106.78","2,124.62","2,066.59","2,073.64"
1/28/21,"2,111.29","2,138.20","2,094.78","2,106.61"
1/27/21,"2,146.66","2,146.66","2,088.01","2,108.70"
1/26/21,"2,165.46","2,183.01","2,146.34","2,149.86"
1/25/21,"2,168.72","2,194.86","2,135.22","2,163.27"
1/22/21,"2,140.49","2,168.80","2,118.77","2,168.76"
1/21/21,"2,161.30","2,167.03","2,138.03","2,141.42"
1/20/21,"2,152.31","2,173.73","2,149.99","2,160.62"
1/19/21,"2,125.52","2,152.35","2,125.52","2,151.14"
1/15/21,"2,154.69","2,154.69","2,102.53","2,123.20"
1/14/21,"2,113.63","2,164.32","2,113.63","2,155.35"
1/13/21,"2,128.17","2,131.42","2,109.72","2,111.97"
1/12/21,"2,091.79","2,128.39","2,091.79","2,127.96"
1/11/21,"2,088.80","2,095.40","2,061.64","2,091.01"
1/8/21,"2,098.45","2,113.88","2,064.62","2,091.66"
1/7/21,"2,059.33","2,099.26","2,059.33","2,096.89"
1/6/21,"1,980.29","2,079.72","1,980.29","2,057.92"
1/5/21,"1,975.78","1,990.70","1,927.15","1,979.11"
1/4/21,"1,975.78","1,990.70","1,927.15","1,945.91"
12/31/20,"1,979.93","1,981.41","1,963.26","1,974.86"
12/30/20,"1,961.72","1,987.78","1,961.72","1,979.99"
